location_base,lng,lat,trip_count,passenger_count
DROPOFF,-73.98452081672437,40.773754552561378,1147,1968
DROPOFF,-73.986933619028946,40.726100255400432,1276,2103
DROPOFF,-73.9934481326791,40.72856691258621,1718,2961
DROPOFF,-73.981421315110552,40.694539061410985,178,316
DROPOFF,-73.9255347626977,40.630016053441047,4,8
DROPOFF,-74.00058917418734,40.746877362614242,1565,2623
DROPOFF,-73.9425485887215,40.7960396791369,247,414
DROPOFF,-73.914030925309035,40.778281301290548,57,97
DROPOFF,-73.9604805171196,40.761179480771673,1993,3365
DROPOFF,-74.009496050965453,40.701703313506705,600,1036
DROPOFF,-73.96923955883976,40.766232840412854,2395,3910
DROPOFF,-73.933988404945566,40.796267321185,509,828
DROPOFF,-73.9625167551376,40.758480772359462,2065,3416
DROPOFF,-73.979623427538613,40.758020598541094,3405,5645
DROPOFF,-73.967203360329464,40.76893192952592,2036,3464
DROPOFF,-73.945207490064774,40.753655928289831,38,64
DROPOFF,-73.99933797536255,40.715192369960427,538,905
DROPOFF,-73.964962161973347,40.766347735254378,2535,4109
DROPOFF,-73.940711757086063,40.804024718604531,983,1594
DROPOFF,-73.973928459537021,40.776684780193754,449,778
DROPOFF,-74.006270057491932,40.728218571906936,1687,2840
DROPOFF,-73.9718920697993,40.7793843009544,543,987
DROPOFF,-73.940729299914253,40.748487793064605,174,297
DROPOFF,-74.011946454393765,40.709563781505366,1268,2163
DROPOFF,-73.962115737340326,40.803453191735947,696,1189
DROPOFF,-73.9700608383572,40.787368248713804,1625,2664
DROPOFF,-74.0182496070028,40.706749101336165,574,965
DROPOFF,-73.925463802355168,40.740962968308686,78,126
DROPOFF,-73.968639560612914,40.805923805617219,181,329
DROPOFF,-73.946209335162834,40.835630824012625,236,368
DROPOFF,-73.962320347204241,40.808738976971064,451,778
DROPOFF,-73.99855556685219,40.749576397262288,585,991
DROPOFF,-73.968434250423741,40.800638204347685,1277,2123
DROPOFF,-73.950905457659317,40.79052647560961,1114,1761
DROPOFF,-74.005433511153853,40.707098781834958,2065,3481
DROPOFF,-73.990418831429324,40.760373047653324,2153,3596
DROPOFF,-73.955592583910217,40.745447158117351,386,676
DROPOFF,-73.9747293377269,40.742289593597526,1767,2827
DROPOFF,-73.9800362432926,40.7685865237991,1870,3144
DROPOFF,-73.984900148311326,40.728798350419844,1974,3274
DROPOFF,-73.9895888529844,40.739244757451516,3704,6178
DROPOFF,-73.946412290133424,40.840918727228541,17,33
DROPOFF,-73.996105343172829,40.741711707250488,2410,3921
DROPOFF,-73.976969942466226,40.744872810136414,3426,5723
DROPOFF,-73.8477461662829,40.72185443999247,35,51
DROPOFF,-73.964153718254764,40.800753061059126,736,1223
DROPOFF,-73.970659399592449,40.747686448906315,1026,1725
DROPOFF,-73.993240367466456,40.723286420332485,1801,3099
DROPOFF,-74.003249435641678,40.76002506197139,1373,2250
DROPOFF,-73.9800073154922,40.713073346977332,344,560
DROPOFF,-73.970266273900549,40.792652973993427,1118,1874
DROPOFF,-73.954168509707344,40.70848331099603,161,280
DROPOFF,-73.912138615580744,40.841826532449694,23,35
DROPOFF,-73.96578151465053,40.787483168822867,428,681
DROPOFF,-73.988384070882532,40.763072338093558,2063,3524
DROPOFF,-73.9478616026046,40.71129449118795,170,266
DROPOFF,-73.999546391206977,40.720472327487109,1687,2846
DROPOFF,-74.007107357140242,40.749343959121617,1148,1926
DROPOFF,-73.980626145922358,40.728913832547775,1566,2675
DROPOFF,-74.008302309212226,40.725520098751616,1025,1708
DROPOFF,-74.009705550176491,40.706982379362266,1235,2060
DROPOFF,-73.972303330197235,40.789953046698187,1295,2255
DROPOFF,-74.016429013416484,40.714726719888091,1635,2764
DROPOFF,-73.997513868694583,40.7231704712109,2361,3897
DROPOFF,-73.944384798204212,40.788055394793041,377,653
DROPOFF,-73.936027646414018,40.793567951752507,179,305
DROPOFF,-73.971480994649227,40.768816952445668,421,737
DROPOFF,-73.943791350094145,40.716688300276132,150,250
DROPOFF,-73.980419822699432,40.723633320786981,1085,1785
DROPOFF,-73.95070221395892,40.785241896811741,2160,3533
DROPOFF,-73.739659496359465,40.687614170709864,14,20
DROPOFF,-73.876008387620075,40.734334290545732,27,56
DROPOFF,-73.934215063707541,40.746017556440016,49,70
DROPOFF,-74.007674178748218,40.709680266183412,1147,1883
DROPOFF,-73.786983188215032,40.757769022831923,5,8
DROPOFF,-73.936430941896617,40.804138548693565,428,719
DROPOFF,-73.95457515920053,40.719042660702151,267,453
DROPOFF,-73.938874302985454,40.812010512967959,190,307
DROPOFF,-73.999754853947479,40.725752634920248,1902,3085
DROPOFF,-73.966370897545488,40.692302965016594,151,247
DROPOFF,-73.98121505334214,40.6892608281124,187,377
DROPOFF,-73.958848240044929,40.718928138198841,316,495
DROPOFF,-73.915672038717517,40.765016088079683,213,374
DROPOFF,-74.007464896108573,40.70440102194771,1881,3099
DROPOFF,-73.948882959656217,40.682205385215504,76,117
DROPOFF,-73.807430479361045,40.730817772060426,10,15
DROPOFF,-74.01418760879541,40.712145228354728,1618,2737
DROPOFF,-73.948461174528035,40.782656858963165,1240,2039
DROPOFF,-73.97452361980325,40.737008197739428,768,1278
DROPOFF,-73.934416280417423,40.751299535712008,71,135
DROPOFF,-73.919592538752525,40.698835667882463,65,113
DROPOFF,-74.01376760272268,40.701586760075379,1058,1812
DROPOFF,-73.969855449095064,40.782083872660465,619,1050
DROPOFF,-73.871052025569711,40.774118872797686,4335,7161
DROPOFF,-73.978770906652812,40.681401827207978,157,270
DROPOFF,-74.011736691489986,40.704284543985807,1373,2243
DROPOFF,-73.957628412877625,40.742749059368172,185,301
DROPOFF,-73.924026363901731,40.759506915406895,167,295
DROPOFF,-73.9458265915598,40.713991370169722,151,276
DROPOFF,-73.988552430139535,40.712842263747575,269,417
DROPOFF,-73.996938302244942,40.762840657279753,1224,1995
DROPOFF,-73.997305669676408,40.717890335418886,1150,1965
DROPOFF,-73.984486587057432,40.718237689707408,631,1031
DROPOFF,-73.941553972000932,40.714105413207825,100,167
DROPOFF,-74.013977582141976,40.706865819195663,923,1581
DROPOFF,-73.98386659396526,40.7023993233207,183,342
DROPOFF,-73.925593181494293,40.857353187575292,7,11
DROPOFF,-73.9949037992709,40.765540150398465,964,1638
DROPOFF,-73.90638314984173,40.688617751556528,28,40
DROPOFF,-74.009432409420924,40.646236047782949,30,59
DROPOFF,-74.0056425771711,40.712378204427836,784,1281
DROPOFF,-73.986519623740946,40.715539951076821,341,551
DROPOFF,-73.934189811598628,40.801552622668936,139,230
DROPOFF,-73.986726598098841,40.720819928283149,2531,4453
DROPOFF,-73.862302773980716,40.769057766024616,1672,2825
DROPOFF,-73.869306032566072,40.726580290076583,17,30
DROPOFF,-73.945803562515053,40.825056063839185,216,397
DROPOFF,-73.958640760615424,40.658173793820268,63,93
DROPOFF,-73.8838860452555,40.773784135525233,253,418
DROPOFF,-73.9783860949569,40.726331213193149,1276,2147
DROPOFF,-73.980832515579,40.734194694139049,1483,2404
DROPOFF,-73.943358346443659,40.817182931087629,155,257
DROPOFF,-73.9419256306854,40.835744849062273,130,265
DROPOFF,-73.982691934595664,40.781738181718374,1988,3479
DROPOFF,-73.8936956686102,40.74973140508061,65,116
DROPOFF,-73.976533225134489,40.678820754350383,94,151
DROPOFF,-73.985278754730942,40.683867439051937,76,132
DROPOFF,-73.8589107553353,40.734779179501182,29,51
DROPOFF,-73.942330620340513,40.846321016360811,69,121
DROPOFF,-73.804267743637908,40.701833466305771,7,13
DROPOFF,-73.988966859359522,40.723402211636376,2023,3458
DROPOFF,-73.948664154389448,40.787941266212357,449,718
DROPOFF,-73.993655944649547,40.733847754665931,2205,3525
DROPOFF,-73.957015436435,40.671422150215996,123,203
DROPOFF,-74.030341763009176,40.635102021039756,19,28
DROPOFF,-73.943805226237174,40.66121200787385,24,35
DROPOFF,-73.910798891482287,40.749281394746426,27,47
DROPOFF,-73.961706655930129,40.792882668508973,115,206
DROPOFF,-73.964951043182964,40.710836438498418,371,614
DROPOFF,-73.951108747160674,40.795811403612511,250,394
DROPOFF,-73.9372380785016,40.825283930983638,71,120
DROPOFF,-73.936632657819843,40.8094243707985,117,189
DROPOFF,-73.932122389869,40.859827622674651,54,84
DROPOFF,-73.864538265758924,40.771643928183146,1833,2984
DROPOFF,-73.95111923461198,40.684787076422481,85,139
DROPOFF,-73.980802668900608,40.678705412297745,127,200
DROPOFF,-73.895735138986083,40.747034319891249,65,105
DROPOFF,-73.994233924524565,40.694192031765674,383,668
DROPOFF,-73.98697074960296,40.781622634883746,143,262
DROPOFF,-73.9402894378564,40.849022236697252,204,331
DROPOFF,-73.867056823148459,40.8403585630833,8,13
DROPOFF,-73.780889601146185,40.644329955915829,850,1446
DROPOFF,-74.006060850324275,40.722938099518942,1127,1915
DROPOFF,-73.965757358886833,40.676469774327543,87,157
DROPOFF,-73.982246826200253,40.715655495931379,269,448
DROPOFF,-73.941318488620354,40.819883213770929,110,178
DROPOFF,-73.776623492801448,40.644437939697163,840,1454
DROPOFF,-73.881757458565787,40.832036897355941,6,11
DROPOFF,-73.921788067985474,40.756922243419282,90,140
DROPOFF,-73.970436518739589,40.686909926653662,110,176
DROPOFF,-73.801852897835175,40.693970062058369,2,3
DROPOFF,-73.909897067539532,40.839238912552148,2,3
DROPOFF,-73.99286906555227,40.768239694629521,881,1425
DROPOFF,-73.933962857204,40.851837233272256,107,174
DROPOFF,-73.854179740194184,40.663572586810517,4,6
DROPOFF,-73.963334867934492,40.779614122216152,1538,2705
DROPOFF,-73.994441672882473,40.699470595709606,173,296
DROPOFF,-73.863185171604982,40.734668194121681,31,64
DROPOFF,-73.976327582074646,40.673543565515494,124,215
DROPOFF,-73.955185045209788,40.790412106477618,254,442
DROPOFF,-73.869693725365991,40.737141971539344,10,11
DROPOFF,-73.942346263328162,40.790754738891138,283,461
DROPOFF,-73.9629170058346,40.713533620535117,375,572
DROPOFF,-73.974706692185393,40.686794811269671,227,384
DROPOFF,-73.950086294978078,40.824941892383649,309,469
DROPOFF,-73.932606959226618,40.703774315400835,70,106
DROPOFF,-73.9815661700788,40.58892561419006,1,1
